Area,Sector,Residential No of Rooms,Looking For,Land Unit Value,Sales Cost (Local),Sales Limit Lower (Local),Sales Limit Upper (Local)
lekki-phase-1,land,2,Buy a property,3,820375722,790751448,849999996
lekki-phase-1,land,2,Buy a property,4,1093834296,1054335264,1133333328
lekki-phase-1,land,2,Buy a property,5,1367292870,1317919080,1416666660
lekki-phase-1,land,2,Buy a property,6,1640751444,1581502896,1699999992
lekki-phase-1,land,2,Buy a property,7,1914210018,1845086712,1983333324
lekki-phase-1,land,2,Buy a property,8,2187668592,2108670528,2266666656
lekki-phase-1,land,2,Buy a property,9,2461127166,2372254344,2549999988
mabushi,land,2,Buy a property,1,65710227,63920454,67500000
mabushi,land,2,Buy a property,2,131420454,127840908,135000000
mabushi,land,2,Buy a property,3,197130681,191761362,202500000
mabushi,land,2,Buy a property,4,262840908,255681816,270000000
mabushi,land,2,Buy a property,5,328551135,319602270,337500000
mabushi,land,2,Buy a property,6,394261362,383522724,405000000
mabushi,land,2,Buy a property,7,459971589,447443178,472500000
mabushi,land,2,Buy a property,8,525681816,511363632,540000000
mabushi,land,2,Buy a property,9,591392043,575284086,607500000
maitama,land,2,Buy a property,1,387425555,324851112,450000000
maitama,land,2,Buy a property,2,774851110,649702224,900000000
maitama,land,2,Buy a property,3,1162276665,974553336,1350000000
maitama,land,2,Buy a property,4,1549702220,1299404448,1800000000
maitama,land,2,Buy a property,5,1937127775,1624255560,2250000000
maitama,land,2,Buy a property,6,2324553330,1949106672,2700000000
maitama,land,2,Buy a property,7,2711978885,2273957784,3150000000
maitama,land,2,Buy a property,8,3099404440,2598808896,3600000000
maitama,land,2,Buy a property,9,3486829995,2923660008,4050000000
maryland,land,2,Buy a property,1,256250000,112500000,400000002
maryland,land,2,Buy a property,2,512500000,225000000,800000004
maryland,land,2,Buy a property,3,768750000,337500000,1200000006
maryland,land,2,Buy a property,4,1025000000,450000000,1600000008
maryland,land,2,Buy a property,5,1281250000,562500000,2000000010
maryland,land,2,Buy a property,6,1537500000,675000000,2400000012
maryland,land,2,Buy a property,7,1793750000,787500000,2800000014
maryland,land,2,Buy a property,8,2050000000,900000000,3200000016
maryland,land,2,Buy a property,9,2306250000,1012500000,3600000018
obalende,land,2,Buy a property,1,216000000,216000000,216000000
obalende,land,2,Buy a property,2,432000000,432000000,432000000
obalende,land,2,Buy a property,3,648000000,648000000,648000000
obalende,land,2,Buy a property,4,864000000,864000000,864000000
obalende,land,2,Buy a property,5,1080000000,1080000000,1080000000
obalende,land,2,Buy a property,6,1296000000,1296000000,1296000000
obalende,land,2,Buy a property,7,1512000000,1512000000,1512000000
obalende,land,2,Buy a property,8,1728000000,1728000000,1728000000
obalende,land,2,Buy a property,9,1944000000,1944000000,1944000000
ogba,land,2,Buy a property,1,42857143,42857142,42857142
ogba,land,2,Buy a property,2,85714286,85714284,85714284
ogba,land,2,Buy a property,3,128571429,128571426,128571426
ogba,land,2,Buy a property,4,171428572,171428568,171428568
ogba,land,2,Buy a property,5,214285715,214285710,214285710
ogba,land,2,Buy a property,6,257142858,257142852,257142852
ogba,land,2,Buy a property,7,300000001,299999994,299999994
ogba,land,2,Buy a property,8,342857144,342857136,342857136
ogba,land,2,Buy a property,9,385714287,385714278,385714278
ojodu-berger,land,2,Buy a property,1,28000000,19999998,36000000
ojodu-berger,land,2,Buy a property,2,56000000,39999996,72000000
ojodu-berger,land,2,Buy a property,3,84000000,59999994,108000000
ojodu-berger,land,2,Buy a property,4,112000000,79999992,144000000
ojodu-berger,land,2,Buy a property,5,140000000,99999990,180000000
ojodu-berger,land,2,Buy a property,6,168000000,119999988,216000000
ojodu-berger,land,2,Buy a property,7,196000000,139999986,252000000
ojodu-berger,land,2,Buy a property,8,224000000,159999984,288000000
ojodu-berger,land,2,Buy a property,9,252000000,179999982,324000000
okota,land,2,Buy a property,1,93333333,93333336,93333336
okota,land,2,Buy a property,2,186666666,186666672,186666672
okota,land,2,Buy a property,3,279999999,280000008,280000008
okota,land,2,Buy a property,4,373333332,373333344,373333344
okota,land,2,Buy a property,5,466666665,466666680,466666680
okota,land,2,Buy a property,6,559999998,560000016,560000016
okota,land,2,Buy a property,7,653333331,653333352,653333352
okota,land,2,Buy a property,8,746666664,746666688,746666688
okota,land,2,Buy a property,9,839999997,840000024,840000024
oniru-2,land,2,Buy a property,1,336000000,252000000,420000000
oniru-2,land,2,Buy a property,2,672000000,504000000,840000000
oniru-2,land,2,Buy a property,3,1008000000,756000000,1260000000
oniru-2,land,2,Buy a property,4,1344000000,1008000000,1680000000
oniru-2,land,2,Buy a property,5,1680000000,1260000000,2100000000
oniru-2,land,2,Buy a property,6,2016000000,1512000000,2520000000
oniru-2,land,2,Buy a property,7,2352000000,1764000000,2940000000
oniru-2,land,2,Buy a property,8,2688000000,2016000000,3360000000
oniru-2,land,2,Buy a property,9,3024000000,2268000000,3780000000
oshodi,land,2,Buy a property,1,204545455,204545454,204545454
oshodi,land,2,Buy a property,2,409090910,409090908,409090908
oshodi,land,2,Buy a property,3,613636365,613636362,613636362
oshodi,land,2,Buy a property,4,818181820,818181816,818181816
oshodi,land,2,Buy a property,5,1022727275,1022727270,1022727270
oshodi,land,2,Buy a property,6,1227272730,1227272724,1227272724
oshodi,land,2,Buy a property,7,1431818185,1431818178,1431818178
oshodi,land,2,Buy a property,8,1636363640,1636363632,1636363632
oshodi,land,2,Buy a property,9,1840909095,1840909086,1840909086
oworonshoki,land,2,Buy a property,1,30285714,22000002,38571426
oworonshoki,land,2,Buy a property,2,60571428,44000004,77142852
oworonshoki,land,2,Buy a property,3,90857142,66000006,115714278
oworonshoki,land,2,Buy a property,4,121142856,88000008,154285704
oworonshoki,land,2,Buy a property,5,151428570,110000010,192857130
oworonshoki,land,2,Buy a property,6,181714284,132000012,231428556
oworonshoki,land,2,Buy a property,7,211999998,154000014,269999982
oworonshoki,land,2,Buy a property,8,242285712,176000016,308571408
oworonshoki,land,2,Buy a property,9,272571426,198000018,347142834
sangotedo,land,2,Buy a property,1,34500000,27000000,42000000
